Conversation_ID,Turn_1,Turn_2,Turn_3,Turn_4,Turn_5,Turn_6,Turn_7,Turn_8,Turn_9,Turn_10,Turn_11,Turn_12,Turn_13,Turn_14,Turn_15,Turn_16,Turn_17,Turn_18,Turn_19,Turn_20,Turn_21,Turn_22,Turn_23,Turn_24,Turn_25,Turn_26,Turn_27,Turn_28,Turn_29,Turn_30
conv_010,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,8.0
conv_011,6.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,6.0,8.0,6.0,6.0,6.0,8.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0
conv_012,8.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,8.0,6.0,8.0,8.0,6.0,7.0,6.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0
conv_013,6.0,8.0,6.0,8.0,7.0,6.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0
conv_014,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,6.0,8.0,8.0,7.0
conv_015,7.0,7.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,7.0,7.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0
conv_016,6.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,8.0,7.0,6.0,7.0
conv_017,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,7.0,8.0
conv_018,8.0,8.0,7.0,8.0,8.0,6.0,6.0,8.0,7.0,8.0,6.0,7.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0
conv_019,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,7.0,8.0,7.0
conv_020,7.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,7.0,6.0,7.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,8.0,6.0
conv_021,6.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0
conv_022,6.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0
conv_023,7.0,6.0,8.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,6.0,8.0,8.0,6.0,6.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0
conv_024,7.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,6.0
conv_025,7.0,6.0,8.0,7.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,6.0,8.0,6.0,8.0,7.0,6.0,6.0,7.0,6.0,8.0,6.0,7.0
conv_026,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,8.0,6.0
conv_027,8.0,8.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,8.0,8.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0
conv_028,6.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0
conv_029,6.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,8.0,7.0,6.0,7.0,6.0,8.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0
conv_030,7.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,8.0
conv_031,8.0,7.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,8.0,6.0,8.0,7.0,8.0,7.0,6.0,8.0,7.0,6.0,8.0,8.0,7.0,6.0
conv_032,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0
conv_033,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,8.0,7.0,8.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0
conv_034,8.0,7.0,6.0,8.0,7.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0
conv_035,8.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0
conv_036,6.0,8.0,8.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,8.0,7.0,8.0,8.0,6.0,8.0,6.0,8.0
conv_037,6.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,7.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,7.0
conv_038,8.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,7.0,6.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,6.0
conv_039,6.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,7.0,6.0
conv_040,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,6.0
conv_041,6.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0
conv_042,8.0,7.0,7.0,7.0,8.0,8.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,6.0,6.0,8.0,8.0,7.0,8.0,7.0,6.0,7.0,6.0
conv_043,8.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,8.0,6.0,8.0
conv_044,7.0,7.0,7.0,8.0,6.0,8.0,7.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0
conv_045,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0
conv_046,6.0,7.0,7.0,6.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,6.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,6.0,8.0
conv_047,7.0,6.0,8.0,7.0,6.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0
conv_048,6.0,6.0,7.0,6.0,6.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0,8.0,7.0,7.0,7.0,8.0
conv_049,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
conv_050,6.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,8.0,7.0
conv_051,6.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0
conv_052,6.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0
conv_053,8.0,6.0,8.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,7.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0
conv_054,6.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,7.0,8.0,8.0,7.0,6.0
conv_055,6.0,6.0,6.0,7.0,6.0,7.0,8.0,6.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,8.0,7.0,8.0,6.0,8.0,6.0
conv_056,7.0,6.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,6.0,6.0,7.0,6.0
conv_057,8.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,6.0,6.0
conv_058,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,8.0,7.0,6.0,8.0,6.0
conv_059,6.0,7.0,6.0,7.0,6.0,8.0,6.0,8.0,8.0,6.0,6.0,8.0,6.0,8.0,7.0,8.0,8.0,7.0,6.0,7.0,6.0,8.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0
conv_060,6.0,6.0,8.0,6.0,8.0,8.0,6.0,7.0,6.0,6.0,6.0,8.0,8.0,6.0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,8.0,5.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0
conv_061,6.0,6.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,6.0
conv_062,7.0,6.0,8.0,8.0,7.0,8.0,7.0,4.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0
conv_063,6.0,8.0,8.0,7.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0
conv_064,8.0,8.0,7.0,7.0,8.0,6.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,7.0
conv_065,8.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0
conv_066,8.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0,6.0,6.0,8.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,7.0,8.0,7.0
conv_067,6.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,7.0,6.0,7.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0
conv_068,7.0,8.0,8.0,6.0,7.0,6.0,8.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,8.0,7.0,6.0,8.0,6.0,8.0,7.0
conv_069,6.0,7.0,6.0,6.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
conv_070,7.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0
conv_071,8.0,6.0,7.0,6.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,6.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0
conv_072,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0
conv_073,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0
conv_074,8.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,6.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,8.0,8.0
conv_075,8.0,6.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,7.0
conv_076,6.0,6.0,8.0,8.0,6.0,8.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0
conv_077,7.0,8.0,7.0,8.0,6.0,6.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0
conv_078,8.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,6.0,8.0,6.0,8.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0
conv_079,7.0,7.0,8.0,6.0,8.0,6.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,6.0,8.0,6.0,8.0,7.0,7.0
conv_080,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0
conv_081,7.0,5.0,8.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,8.0
conv_082,6.0,6.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0
conv_083,8.0,7.0,8.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0
conv_084,8.0,7.0,8.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0
conv_085,6.0,7.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,6.0,6.0,8.0,8.0,6.0,6.0
conv_086,7.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,6.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0
conv_087,8.0,6.0,8.0,6.0,8.0,6.0,8.0,7.0,6.0,7.0,8.0,6.0,6.0,8.0,6.0,6.0,7.0,6.0,8.0,7.0,8.0,8.0,6.0,6.0,8.0,7.0,7.0,7.0,6.0,8.0
conv_088,7.0,6.0,6.0,8.0,8.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,8.0,7.0,8.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0
conv_089,8.0,7.0,8.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0
conv_090,6.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0,6.0,8.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0
conv_091,7.0,5.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0,8.0,7.0,6.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,7.0,6.0,7.0
conv_092,6.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0
conv_093,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
conv_094,6.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,8.0,6.0,7.0,6.0
conv_095,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0
conv_096,6.0,6.0,8.0,7.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
conv_097,8.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,7.0
conv_098,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
conv_099,6.0,8.0,6.0,7.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0
conv_100,6.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,7.0,6.0,7.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0
conv_101,7.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,8.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,8.0
conv_102,8.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0
conv_103,6.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,8.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,8.0
conv_104,7.0,8.0,6.0,6.0,8.0,6.0,7.0,8.0,8.0,7.0,6.0,6.0,8.0,6.0,7.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0
conv_105,6.0,8.0,6.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,6.0,7.0,7.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0
conv_106,6.0,8.0,8.0,6.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0
conv_107,6.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,6.0,6.0,8.0,7.0,7.0,8.0
